BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20230102,105190,ACE 200,29665,-185,-0.62,29721.14,29890,30080,29645,16209,484391410,458324250000,387860837350,15450000,코스피 200,289.79,-1.31,-0.45
20230102,332500,ACE 200TR,18430,-115,-0.62,18442.63,18635,18670,18405,1178,21750580,25802000000,25819684436,1400000,코스피 200 TR,361.05,-1.63,-0.45
20230102,385590,ACE ESG액티브,6515,-35,-0.53,6512.1,6550,6550,6515,165,1079580,21499500000,21489918262,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1354.95,-2.36,-0.17
20230102,380340,ACE Fn5G플러스,6305,-25,-0.39,6279.89,6370,6370,6275,60,378870,4413500000,4395922111,700000,FnGuide 5G플러스 지수 (시장가격),1245.94,-8.22,-0.66
20230102,226380,ACE Fn성장소비주도주,6035,-140,-2.27,6077.19,6180,6180,5980,641,3847625,6035000000,6077187278,1000000,FnGuide 성장소비주도 지수,2004.68,-31.51,-1.55
20230102,414270,ACE G2전기차&자율주행액티브,7710,185,2.46,7696.63,7525,7865,7525,7894,60645220,68619000000,68500016053,8900000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,219.56,0.42,0.19
20230102,411050,ACE 글로벌메타버스테크액티브,5680,180,3.27,5860.59,5620,5715,5620,755,4283105,10224000000,9963008827,1800000,Bloomberg Global Digital Media & Tech Select Price Return Index,2113.92,-9.67,-0.46
20230102,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,9160,265,2.98,9076.61,9555,9555,8940,6903,63599410,7786000000,7715115170,850000,Solactive Global Semiconductor TOP4 Plus Price Return Index,1819.66,44.07,2.48
20230102,435040,ACE 글로벌브랜드TOP10블룸버그,9440,60,0.64,9524.21,9790,9790,9300,1552,14580735,9440000000,9524207942,1000000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),2605.16,-6.51,-0.25
20230102,265690,ACE 러시아MSCI(합성),10070,0,0.0,520.86,0,0,0,0,0,18629500000,963589510,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
