BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20220901,105190,KINDEX 200,31665,-955,-2.93,31750.07,32065,32065,31650,441457,14044936990,508223250000,509588664769,16050000,코스피 200,315.02,-7.94,-2.46
20220901,332500,KINDEX 200TR,19640,-580,-2.87,19698.75,19940,19940,19640,686,13532675,27496000000,27578250342,1400000,코스피 200 TR,384.70,-9.70,-2.46
20220901,385590,KINDEX ESG액티브,7115,-140,-1.93,7094.21,7175,7175,7105,1392,9939840,23479500000,23410901692,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1510.19,-41.97,-2.70
20220901,380340,KINDEX Fn5G플러스,7110,-160,-2.2,7158.61,7205,7205,7110,60,428795,4977000000,5011026506,700000,FnGuide 5G플러스 지수 (시장가격),1432.76,-23.77,-1.63
20220901,226380,KINDEX Fn성장소비주도주,6075,-145,-2.33,6104.77,6190,6190,6075,34,208435,6075000000,6104767197,1000000,FnGuide 성장소비주도 지수,2032.63,-49.77,-2.39
20220901,414270,KINDEX G2전기차&자율주행액티브,10100,-5,-0.05,10233.65,10105,10150,10075,218659,2211319545,83830000000,85962655754,8300000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,272.12,-5.18,-1.87
20220901,411050,KINDEX 글로벌메타버스테크액티브,6850,-235,-3.32,7113.16,6960,6960,6850,5705,39533855,13700000000,14226317628,2000000,Bloomberg Global Digital Media & Tech Select Price Return Index,2431.08,-7.19,-0.29
20220901,435040,KINDEX 글로벌브랜드TOP10블룸버그,10450,-125,-1.18,10489.48,10545,10545,10400,15639,163335415,11495000000,11538426121,1100000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),2679.36,-12.34,-0.46
20220901,265690,KINDEX 러시아MSCI(합성),10070,0,0.0,516.6,0,0,0,0,0,18629500000,955703257,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20220901,152500,KINDEX 레버리지,5905,-275,-4.45,5912.83,6105,6105,5900,20553,122809220,7676500000,7686680242,1300000,코스피 200,315.02,-7.94,-2.46
20220901,291130,KINDEX 멕시코MSCI(합성),10645,-180,-1.66,10664.48,10590,10660,10590,181,1923260,8516000000,8531582003,800000,MSCI MEXICO IMI 25/50 Price return Index,9167.99,77.88,0.86
20220901,280320,KINDEX 미국IT인터넷S&P(합성 H),11550,-240,-2.04,11604.07,11580,11630,11550,376,4367625,9240000000,9283253404,800000,다우존스 인터넷 종합지수,625.75,-6.63,-1.05
