BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20220701,105190,KINDEX 200,30630,-360,-1.16,30646.46,31235,31270,30410,259884,7954233700,496206000000,499537313112,16200000,코스피 200,304.02,-3.18,-1.04
20220701,332500,KINDEX 200TR,19015,-190,-0.99,19012.1,19320,19400,18875,559,10674175,30424000000,30419367410,1600000,코스피 200 TR,371.10,-3.88,-1.03
20220701,385590,KINDEX ESG액티브,6835,-140,-2.01,6864.94,6965,6965,6835,769,5336715,22555500000,22654303301,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1451.40,-16.61,-1.13
20220701,380340,KINDEX Fn5G플러스,6755,-130,-1.89,6749.91,6895,6950,6735,191,1303250,4728500000,4724937175,700000,FnGuide 5G플러스 지수 (시장가격),1349.55,-19.34,-1.41
20220701,226380,KINDEX Fn성장소비주도주,5890,-45,-0.76,5900.99,5995,5995,5860,51,302025,5890000000,5900990633,1000000,FnGuide 성장소비주도 지수,1962.58,-6.70,-0.34
20220701,414270,KINDEX G2전기차&자율주행액티브,9685,-125,-1.27,9783.06,9810,9810,9505,145226,1403387555,86196500000,86090964429,8900000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,274.96,-1.51,-0.55
20220701,411050,KINDEX 글로벌메타버스테크액티브,6550,-70,-1.06,6570.11,6510,6550,6365,5436,35257075,13100000000,13140212180,2000000,Bloomberg Global Digital Media & Tech Select Price Return Index,2290.43,-13.90,-0.60
20220701,435040,KINDEX 글로벌브랜드TOP10블룸버그,9755,-50,-0.51,9776.0,9805,9805,9710,96033,935815565,7804000000,7820801385,800000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),2635.48,13.58,0.52
20220701,265690,KINDEX 러시아MSCI(합성),10070,0,0.0,504.73,0,0,0,0,0,18629500000,933750282,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20220701,152500,KINDEX 레버리지,5585,-120,-2.1,5571.81,5715,5780,5500,18410,103117820,7260500000,7243355704,1300000,코스피 200,304.02,-3.18,-1.04
20220701,291130,KINDEX 멕시코MSCI(합성),10815,-160,-1.46,10780.2,10930,10930,10705,989,10600850,8652000000,8624159607,800000,MSCI MEXICO IMI 25/50 Price return Index,9625.37,50.58,0.53
20220701,280320,KINDEX 미국IT인터넷S&P(합성 H),10615,-300,-2.75,10699.18,10740,10815,10615,4332,46280565,8492000000,8559343613,800000,다우존스 인터넷 종합지수,590.27,12.38,2.14
20220701,360200,KINDEX 미국S&P500,12365,-80,-0.64,12460.02,12415,12430,12320,81501,1007677425,506965000000,510860898406,41000000,S&P 500,3825.33,39.95,1.06
20220701,309230,KINDEX 미국WideMoat가치주,16415,-270,-1.62,16690.77,16605,16625,16400,10687,175981215,113263500000,115166342921,6900000,MorningStar Wide Moat Focus Index,9805.15,92.91,0.96
20220701,402970,KINDEX 미국고배당S&P,10175,-30,-0.29,10226.86,10210,10230,10145,26686,271612040,66137500000,67497306551,6500000,Dow Jones U.S. Dividend 100 Price Return Index,5116.10,40.41,0.80
20220701,367380,KINDEX 미국나스닥100,11390,-105,-0.91,11476.51,11330,11450,11325,113077,1286076695,372453000000,377577308955,32700000,NASDAQ 100,11585.68,81.96,0.71
20220701,391600,KINDEX 미국친환경그린테마INDXX,9565,90,0.95,9649.05,9600,9600,9480,166409,1579375830,60259500000,60789030437,6300000,Indxx US Green Infrastructure Price return Index,3209.46,27.68,0.87
20220701,245710,KINDEX 베트남VN30(합성),19815,-615,-3.01,20230.17,20380,20385,19815,16974,339491810,164464500000,167910380501,8300000,VN30 Index(PR),1252.24,3.32,0.27
20220701,131890,KINDEX 삼성그룹동일가중,15010,-140,-0.92,15039.02,15215,15215,14980,51,770010,7505000000,7519511967,500000,MKF SAMs EW 지수,15014.76,-57.50,-0.38
20220701,108450,KINDEX 삼성그룹섹터가중,13460,-215,-1.57,13458.91,13800,13800,13365,9724,130491820,32304000000,32301391896,2400000,MKF SAMs SW,13400.01,-210.66,-1.55
20220701,277540,KINDEX 아시아TOP50S&P,12585,-230,-1.79,12626.22,12730,12730,12495,263,3320990,20765250000,20833257308,1650000,S&P ASIA50 Price Return Index,3620.54,-46.79,-1.28
20220701,433500,KINDEX 원자력테마딥서치,12010,-55,-0.46,12027.79,12140,12220,11910,220439,2675491020,8407000000,8419454215,700000,DeepSearch 원자력테마 지수 (시장가격지수),1201.86,-3.64,-0.30
20220701,256440,KINDEX 인도네시아MSCI(합성),9745,-265,-2.65,9865.65,10010,10010,9710,16042,156751795,45801500000,46368544584,4700000,MSCI Indonesia Index,6757.40,-75.23,-1.10
20220701,145670,KINDEX 인버스,6245,80,1.3,6241.6,6175,6280,6120,64160,398411590,5620500000,5617436851,900000,코스피 200 선물지수,1544.67,-12.67,-0.81
20220701,238720,KINDEX 일본Nikkei225(H),17105,-340,-1.95,17429.67,17295,17390,17020,699,11956750,11973500000,12200771669,700000,Nikkei 225,25935.62,-457.42,-1.73
20220701,196030,KINDEX 일본TOPIX레버리지(H),18770,-485,-2.52,19354.86,19385,19385,18565,11891,223533525,11262000000,11612914404,600000,TOPIX,1845.04,-25.78,-1.38
20220701,205720,KINDEX 일본TOPIX인버스(합성 H),4325,60,1.41,4272.8,4265,4325,4220,27897,119369945,7785000000,7691043934,1800000,TOPIX,1845.04,-25.78,-1.38
20220701,416090,KINDEX 중국과창판STAR50,8280,-330,-3.83,8735.24,8615,8675,8280,1998,17245690,8280000000,8735236687,1000000,STAR 50 Index(Price Return),1089.03,-16.64,-1.50
20220701,168580,KINDEX 중국본토CSI300,30970,-70,-0.23,30885.32,31095,31395,30725,16973,525578495,201305000000,200754566274,6500000,CSI 300 Index,4466.72,-18.29,-0.41
20220701,219900,KINDEX 중국본토CSI300레버리지(합성),5020,-30,-0.59,5080.9,5065,5135,4995,6664,33469325,12048000000,12194162601,2400000,CSI 300 Index,4466.72,-18.29,-0.41
20220701,371870,KINDEX 차이나항셍테크,6770,-60,-0.88,6864.09,6835,6900,6470,12852,87406195,6093000000,6177683896,900000,Hang Seng TECH Index,4870.30,0.00,0.00
20220701,385600,KINDEX 친환경자동차밸류체인액티브,8580,-210,-2.39,8576.4,8840,8840,8530,3230,27717255,21450000000,21440995445,2500000,FnGuide 친환경 자동차 밸류체인 지수,1246.04,-20.83,-1.64
20220701,354500,KINDEX 코스닥150,10320,-245,-2.32,10384.23,10640,10705,10250,2915,30325765,14448000000,14537927366,1400000,코스닥 150,1031.71,-24.71,-2.34
