BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20221004,105190,KINDEX 200,29075,615,2.16,29133.22,28860,29165,28840,170260,4956521690,485552500000,489438075956,16700000,코스피 200,288.27,6.91,2.46
20221004,332500,KINDEX 200TR,18075,415,2.35,18077.61,17935,18105,17915,2363,42687170,25305000000,25308658339,1400000,코스피 200 TR,352.92,8.46,2.46
20221004,385590,KINDEX ESG액티브,6395,120,1.91,6419.55,6375,6415,6375,1138,7283260,21103500000,21184523989,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1353.26,25.52,1.92
20221004,380340,KINDEX Fn5G플러스,6305,225,3.7,6311.42,6245,6310,6205,6652,41347475,4413500000,4417996393,700000,FnGuide 5G플러스 지수 (시장가격),1262.61,46.47,3.82
20221004,226380,KINDEX Fn성장소비주도주,5665,70,1.25,5655.93,5615,5665,5615,27,152190,5665000000,5655925668,1000000,FnGuide 성장소비주도 지수,1883.57,23.68,1.27
20221004,414270,KINDEX G2전기차&자율주행액티브,9405,90,0.97,9390.39,9415,9415,9320,41007,384224260,77121000000,77001170774,8200000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,248.62,10.61,4.46
20221004,411050,KINDEX 글로벌메타버스테크액티브,6725,210,3.22,6682.38,6730,6730,6550,1498,9980665,13450000000,13364751952,2000000,Bloomberg Global Digital Media & Tech Select Price Return Index,2392.73,124.71,5.50
20221004,435040,KINDEX 글로벌브랜드TOP10블룸버그,10180,-125,-1.21,10157.71,10070,10280,10070,248846,2548008760,10180000000,10157712023,1000000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),2548.19,90.00,3.66
20221004,265690,KINDEX 러시아MSCI(합성),10070,0,0.0,517.38,0,0,0,0,0,18629500000,957150490,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20221004,152500,KINDEX 레버리지,4955,250,5.31,4970.82,4905,4970,4865,14696,72563560,6937000000,6959144252,1400000,코스피 200,288.27,6.91,2.46
20221004,291130,KINDEX 멕시코MSCI(합성),11495,120,1.05,11516.09,11555,11555,11495,1804,20807530,9196000000,9212868578,800000,MSCI MEXICO IMI 25/50 Price return Index,9333.53,251.96,2.77
20221004,280320,KINDEX 미국IT인터넷S&P(합성 H),10800,0,0.0,10745.07,10680,10800,10680,1874,20139380,8640000000,8596052451,800000,다우존스 인터넷 종합지수,615.04,40.55,7.06
20221004,360200,KINDEX 미국S&P500,13435,185,1.4,13307.37,13390,13475,13385,74713,1003694110,510530000000,505680243157,38000000,S&P 500,3790.93,205.31,5.73
20221004,438080,KINDEX 미국S&P500채권혼합액티브,10275,35,0.34,10282.27,10255,10315,10255,11708,120576675,8220000000,8225816296,800000,S&P500 and Short-Term Treasury 30/70 Blend Index,151.84,2.57,1.72
20221004,309230,KINDEX 미국WideMoat가치주,17980,375,2.13,17752.56,17830,18025,17830,14639,263091070,86304000000,81661778566,4800000,MorningStar Wide Moat Focus Index,9733.19,622.01,6.83
20221004,402970,KINDEX 미국고배당S&P,10790,145,1.36,10714.33,10790,10815,10760,11713,126384590,65819000000,65357438467,6100000,Dow Jones U.S. Dividend 100 Price Return Index,4960.06,254.23,5.40
20221004,367380,KINDEX 미국나스닥100,12465,125,1.01,12317.25,12405,12490,12405,71310,888398605,418824000000,411396240906,33600000,NASDAQ 100,11582.54,611.32,5.57
20221004,438100,KINDEX 미국나스닥100채권혼합액티브,10215,35,0.34,10224.3,10215,10260,10215,1241,12700120,8172000000,8179443744,800000,NASDAQ-100 US T-Bills 30/70 Index,1340.23,22.12,1.68
20221004,391600,KINDEX 미국친환경그린테마INDXX,11380,505,4.64,11318.68,11320,11420,11320,17619,200481400,35278000000,35087909226,3100000,Indxx US Green Infrastructure Price return Index,3497.16,234.88,7.20
20221004,245710,KINDEX 베트남VN30(합성),19395,-525,-2.64,19071.49,19660,19920,19345,43789,854061995,155160000000,152571899173,8000000,VN30 Index(PR),1097.72,-54.29,-4.71
20221004,131890,KINDEX 삼성그룹동일가중,14535,225,1.57,14583.93,14385,14590,14385,38,551150,7267500000,7291964244,500000,MKF SAMs EW 지수,14567.40,284.57,1.99
20221004,108450,KINDEX 삼성그룹섹터가중,13395,315,2.41,13408.39,13245,13420,13245,1760,23499605,32148000000,32180145139,2400000,MKF SAMs SW,13334.65,322.66,2.48
20221004,277540,KINDEX 아시아TOP50S&P,11420,25,0.22,11299.9,11490,11490,11285,2462,27850510,18843000000,18644839862,1650000,S&P ASIA50 Price Return Index,3257.30,6.41,0.20
20221004,433500,KINDEX 원자력테마딥서치,10400,350,3.48,10403.82,10200,10410,10160,24740,255399420,13520000000,13524971654,1300000,DeepSearch 원자력테마 지수 (시장가격지수),1037.79,32.89,3.27
20221004,256440,KINDEX 인도네시아MSCI(합성),11580,-15,-0.13,11626.79,11500,11630,11425,26898,309927775,44004000000,44181816995,3800000,MSCI Indonesia Index,7561.46,44.26,0.59
20221004,145670,KINDEX 인버스,6550,-155,-2.31,6539.12,6575,6690,6525,10182,66673625,5895000000,5885205522,900000,코스피 200 선물지수,1466.36,38.18,2.67
20221004,238720,KINDEX 일본Nikkei225(H),18020,825,4.8,17474.89,17815,18030,17700,8456,151620800,12614000000,12232420175,700000,Nikkei 225,26992.21,1055.00,4.07
20221004,196030,KINDEX 일본TOPIX레버리지(H),20290,1785,9.65,19155.53,18600,20300,18600,1715,34065730,10145000000,9577764219,500000,TOPIX,1906.89,70.95,3.86
20221004,205720,KINDEX 일본TOPIX인버스(합성 H),4040,-165,-3.92,4239.2,4160,4160,4040,9467,38470165,6868000000,7206633523,1700000,TOPIX,1906.89,70.95,3.86
20221004,416090,KINDEX 중국과창판STAR50,7485,-75,-0.99,7664.75,7530,7560,7400,1358,10226515,7485000000,7664750626,1000000,STAR 50 Index(Price Return),939.38,0.00,0.00
20221004,168580,KINDEX 중국본토CSI300,27315,-255,-0.92,27284.64,27570,27570,27315,323,8849750,177547500000,176804480785,6500000,CSI 300 Index,3804.89,0.00,0.00
20221004,219900,KINDEX 중국본토CSI300레버리지(합성),4000,10,0.25,3966.03,3970,4015,3950,7003,27953200,9600000000,9518479641,2400000,CSI 300 Index,3804.89,0.00,0.00
20221004,371870,KINDEX 차이나항셍테크,5420,55,1.03,5310.42,5385,5470,5385,539,2927245,4878000000,4779377165,900000,Hang Seng TECH Index,3427.13,-22.99,-0.67
20221004,385600,KINDEX 친환경자동차밸류체인액티브,8355,220,2.7,8359.06,8215,8355,8205,182,1505340,20887500000,20897648376,2500000,FnGuide 친환경 자동차 밸류체인 지수,1251.16,38.71,3.19
20221004,354500,KINDEX 코스닥150,9905,355,3.72,9998.9,9665,9905,9665,1095,10708545,13867000000,13998466632,1400000,코스닥 150,993.04,36.56,3.82
20221004,305050,KINDEX 코스피,22600,580,2.63,22578.49,22365,22600,22315,660,14849710,7910000000,7902469838,350000,코스피,2209.38,53.89,2.50
20221004,261920,KINDEX 필리핀MSCI(합성),12380,85,0.69,12120.96,12245,12485,12245,218,2683500,4952000000,4848384656,400000,MSCI Philippines IMI Index,1396.08,49.13,3.65
20221004,069500,KODEX 200,28960,685,2.42,29006.59,28685,29030,28655,4502303,130267435720,4879760000000,4835398516293,168500000,코스피 200,288.27,6.91,2.46
20221004,226980,KODEX 200 중소형,10460,250,2.45,10491.26,10360,10490,10305,548,5722070,5230000000,5245628654,500000,코스피 200 중소형주지수,1050.82,28.11,2.75
20221004,337160,KODEX 200ESG,10675,245,2.35,10670.03,10555,10690,10555,1054,11244815,70455000000,70422214782,6600000,코스피 200 ESG 지수,314.31,7.21,2.35
20221004,363580,KODEX 200IT TR,9705,290,3.08,9723.45,9565,9730,9565,1295,12481615,53377500000,53478977755,5500000,코스피200 정보기술 TR,2929.99,89.18,3.14
20221004,278530,KODEX 200TR,9665,230,2.44,9682.16,9575,9695,9575,313175,3026865770,1465697250000,1481370535951,151650000,코스피 200 TR,352.92,8.46,2.46
20221004,337150,KODEX 200exTOP,9865,75,0.77,9907.2,0,0,0,0,0,60176500000,60433934383,6100000,코스피 200 초대형제외 지수,213.83,3.94,1.88
20221004,223190,KODEX 200가치저변동,8430,200,2.43,8426.3,8320,8450,8320,942,7936200,13488000000,13482073013,1600000,코스피 200 가치저변동성,4101.03,100.29,2.51
20221004,252650,KODEX 200동일가중,9410,205,2.23,9405.98,9335,9415,9330,32,300575,9410000000,9405976619,1000000,코스피 200 동일가중지수,1889.65,41.16,2.23
20221004,360140,KODEX 200롱코스닥150숏선물,10520,-165,-1.54,10536.54,10575,10630,10520,3255,34466625,16832000000,16858470166,1600000,코스피200 롱 100% 코스닥150 숏 100% 선물지수,894.11,-9.28,-1.03
20221004,284430,KODEX 200미국채혼합,12060,190,1.6,12036.5,12030,12110,12020,45500,548708385,36662400000,36590950036,3040000,코스피 200 미국채 혼합지수,2897.33,36.35,1.27
20221004,252670,KODEX 200선물인버스2X,3685,-185,-4.78,3669.17,3760,3780,3660,223386448,826472571640,2102661000000,2120044529885,570600000,코스피 200 선물지수,1466.36,38.18,2.67
20221004,305720,KODEX 2차전지산업,17570,595,3.51,17585.38,17140,17570,16945,1268666,21919344250,1180704000000,1185254925017,67200000,FnGuide 2차전지 산업 지수,3068.88,105.77,3.57
20221004,368680,KODEX Fn K-뉴딜디지털플러스,7925,55,0.7,7921.92,7935,7945,7835,91,717690,9510000000,9506299317,1200000,FnGuide K-뉴딜 디지털 플러스 지수,1893.68,18.48,0.99
20221004,395170,KODEX Fn Top10동일가중,6810,70,1.04,6813.6,6800,6825,6770,6495,44045910,130752000000,130821055448,19200000,FnGuide TOP10 동일가중 지수,1064.79,11.27,1.07
20221004,337120,KODEX Fn멀티팩터,10685,260,2.49,10685.86,10635,10685,10630,29123,310600215,6411000000,6411517302,600000,FnGuide 멀티팩터 지수,6700.96,175.40,2.69
20221004,325010,KODEX Fn성장,11960,250,2.13,11958.91,11875,11970,11875,64865,774587370,49036000000,49031516810,4100000,FnGuide 성장 지수(PR),3369.52,71.88,2.18
20221004,395160,KODEX Fn시스템반도체,6420,335,5.51,6442.57,6250,6430,6250,13026,83214400,14766000000,14817901210,2300000,FnGuide AI반도체지수,1478.77,79.49,5.68
20221004,395150,KODEX Fn웹툰&드라마,4850,10,0.21,4847.93,4905,4905,4810,14184,68862430,7275000000,7271897907,1500000,FnGuide 웹툰&드라마 지수,728.14,1.76,0.24
20221004,266370,KODEX IT,14535,460,3.27,14554.17,14300,14545,14300,2550,36894905,26163000000,26197501659,1800000,KRX 정보기술,1246.22,41.89,3.48
20221004,401470,KODEX K-메타버스액티브,7540,135,1.82,7552.36,7540,7550,7460,516451,3875885935,260507000000,260556336841,34550000,FnGuide K-메타버스 지수,1140.96,25.78,2.31
20221004,385520,KODEX K-미래차액티브,8575,270,3.25,8576.13,8430,8575,8430,11913,101475925,55308750000,55316031410,6450000,FnGuide K-미래차 지수,1539.27,50.38,3.38
20221004,385510,KODEX K-신재생에너지액티브,10595,420,4.13,10594.01,10330,10595,10290,46575,487247320,59861750000,59856144882,5650000,FnGuide K-신재생에너지 플러스 지수,1478.32,49.53,3.47
20221004,373490,KODEX K-이노베이션액티브,9285,310,3.45,9287.22,9155,9300,9155,107,989500,4642500000,4643609030,500000,FnGuide K-이노베이션 지수,1546.20,30.34,2.00
20221004,292190,KODEX KRX300,13385,320,2.45,13389.88,13285,13400,13285,620,8282250,32124000000,32135700462,2400000,KRX 300,1305.82,31.95,2.51
20221004,306950,KODEX KRX300레버리지,9565,375,4.08,9633.81,9370,9650,9370,10145,97463430,9565000000,9633811657,1000000,KRX 300,1305.82,31.95,2.51
20221004,404260,KODEX KRX기후변화솔루션,8500,300,3.66,8531.1,8340,8515,8340,281,2377880,32300000000,32418177381,3800000,KRX 기후변화 솔루션지수,1649.01,57.56,3.62
20221004,229720,KODEX KTOP30,14955,280,1.91,14946.07,14910,14980,14900,628,9389570,8973000000,8967639748,600000,KTOP 30,7479.56,124.09,1.69
20221004,291890,KODEX MSCI EM선물(H),7165,125,1.78,7111.0,7360,7360,7165,215,1540865,4299000000,4266600013,600000,iEdge Emerging Markets Futures Index(ER),1025.22,47.89,4.90
