BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20220602,105190,KINDEX 200,35165,-380,-1.07,35199.71,35350,35350,35070,211762,7444996010,643519500000,644154687696,18300000,코스피 200,350.51,-4.03,-1.14
20220602,332500,KINDEX 200TR,21815,-325,-1.47,21834.02,21985,21985,21765,4690,102172560,58900500000,58951844447,2700000,코스피 200 TR,426.54,-4.90,-1.14
20220602,385590,KINDEX ESG액티브,8130,-90,-1.09,8121.18,8185,8185,8110,150,1219495,26829000000,26799885699,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1692.54,-21.03,-1.23
20220602,380340,KINDEX Fn5G플러스,8150,-15,-0.18,8147.87,8160,8160,8125,246,2004185,5705000000,5703505992,700000,FnGuide 5G플러스 지수 (시장가격),1629.87,-8.46,-0.52
20220602,226380,KINDEX Fn성장소비주도주,6775,-55,-0.81,6785.25,6775,6775,6765,26,176115,6775000000,6785249095,1000000,FnGuide 성장소비주도 지수,2256.78,-18.40,-0.81
20220602,414270,KINDEX G2전기차&자율주행액티브,8990,115,1.3,8997.35,8805,8990,8800,164943,1465630540,81809000000,81875876239,9100000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,276.26,7.63,2.84
20220602,411050,KINDEX 글로벌메타버스테크액티브,7150,-75,-1.04,7197.42,7225,7225,7040,553,3917525,15015000000,15114591532,2100000,Bloomberg Global Digital Media & Tech Select Price Return Index,2522.76,69.45,2.83
20220602,265690,KINDEX 러시아MSCI(합성),10070,0,0.0,505.38,0,0,0,0,0,18629500000,934961523,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20220602,152500,KINDEX 레버리지,7380,-170,-2.25,7381.09,7465,7465,7350,14367,106079275,9594000000,9595422824,1300000,코스피 200,350.51,-4.03,-1.14
20220602,291130,KINDEX 멕시코MSCI(합성),11485,-195,-1.67,11480.38,11675,11675,11420,444,5106555,9188000000,9184306293,800000,MSCI MEXICO IMI 25/50 Price return Index,10170.34,-194.09,-1.87
20220602,280320,KINDEX 미국IT인터넷S&P(합성 H),12040,-125,-1.03,11949.0,12025,12040,11925,534,6390440,9632000000,9559200868,800000,다우존스 인터넷 종합지수,664.97,29.37,4.62
20220602,360200,KINDEX 미국S&P500,13020,-30,-0.23,13014.91,13050,13050,12905,237567,3081894425,552048000000,551832053395,42400000,S&P 500,4176.82,44.67,1.08
20220602,309230,KINDEX 미국WideMoat가치주,17280,-130,-0.75,17294.02,17280,17350,17240,8211,142038830,119232000000,119328747684,6900000,MorningStar Wide Moat Focus Index,10688.84,165.67,1.57
20220602,402970,KINDEX 미국고배당S&P,10695,-25,-0.23,10654.71,10640,10695,10580,26493,282341595,51336000000,51142596201,4800000,Dow Jones U.S. Dividend 100 Price Return Index,5537.57,-2.73,-0.05
20220602,367380,KINDEX 미국나스닥100,12090,-15,-0.12,12079.59,12105,12105,11995,247666,2985882965,384462000000,384130954669,31800000,NASDAQ 100,12892.89,250.79,1.98
20220602,391600,KINDEX 미국친환경그린테마INDXX,9770,-125,-1.26,9735.82,9760,9780,9685,1708,16622235,61551000000,61335652172,6300000,Indxx US Green Infrastructure Price return Index,3446.28,90.95,2.71
20220602,245710,KINDEX 베트남VN30(합성),20765,150,0.73,20997.81,20730,20765,20610,26295,544092255,172349500000,174281835808,8300000,VN30 Index(PR),1325.49,-7.10,-0.53
20220602,131890,KINDEX 삼성그룹동일가중,16235,-220,-1.34,16228.4,16295,16295,16180,274,4447895,8117500000,8114197848,500000,MKF SAMs EW 지수,16207.08,-258.25,-1.57
20220602,108450,KINDEX 삼성그룹섹터가중,14945,-200,-1.32,14947.2,15080,15080,14895,7373,110139985,40351500000,40357440954,2700000,MKF SAMs SW,14900.22,-203.47,-1.35
20220602,277540,KINDEX 아시아TOP50S&P,12705,-120,-0.94,12768.58,12830,12830,12650,231,2940995,20963250000,21068148918,1650000,S&P ASIA50 Price Return Index,3685.28,-45.31,-1.21
20220602,256440,KINDEX 인도네시아MSCI(합성),10190,60,0.59,10630.18,10175,10290,10090,26382,269295845,47893000000,49961836811,4700000,MSCI Indonesia Index,7261.48,-143.37,-1.94
20220602,145670,KINDEX 인버스,5460,55,1.02,5464.63,5460,5465,5430,7102,38701150,4914000000,4918162992,900000,코스피 200 선물지수,1772.36,-21.02,-1.17
20220602,238720,KINDEX 일본Nikkei225(H),18140,100,0.55,18133.82,17950,18140,17910,1016,18414615,14512000000,14507053680,800000,Nikkei 225,27413.88,134.08,0.49
20220602,196030,KINDEX 일본TOPIX레버리지(H),20445,200,0.99,20841.09,20350,20485,20350,267,5453565,12267000000,12504653842,600000,TOPIX,1926.39,13.72,0.72
20220602,205720,KINDEX 일본TOPIX인버스(합성 H),4180,-5,-0.12,4142.99,4185,4190,4165,4107,17177370,7524000000,7457379003,1800000,TOPIX,1926.39,13.72,0.72
20220602,416090,KINDEX 중국과창판STAR50,7895,120,1.54,7888.2,8000,8000,7680,2801,21992680,7895000000,7888198361,1000000,STAR 50 Index(Price Return),1079.85,44.53,4.30
20220602,168580,KINDEX 중국본토CSI300,26855,-35,-0.13,27024.88,26850,26885,26510,1085,28873675,177243000000,178364198104,6600000,CSI 300 Index,4089.57,-1.95,-0.05
20220602,219900,KINDEX 중국본토CSI300레버리지(합성),3910,50,1.3,3937.17,3835,3915,3820,29939,115641555,9384000000,9449203897,2400000,CSI 300 Index,4089.57,-1.95,-0.05
20220602,371870,KINDEX 차이나항셍테크,5995,-25,-0.42,6037.26,5900,6020,5885,9220,54687805,4796000000,5433535756,800000,Hang Seng TECH Index,4397.74,-85.86,-1.91
20220602,385600,KINDEX 친환경자동차밸류체인액티브,10375,-25,-0.24,10364.8,10350,10375,10285,747,7710685,32162500000,32130892629,3100000,FnGuide 친환경 자동차 밸류체인 지수,1447.52,-8.31,-0.57
20220602,354500,KINDEX 코스닥150,12545,-65,-0.52,12641.69,12550,12595,12505,733,9193705,17563000000,17698360129,1400000,코스닥 150,1257.18,-12.04,-0.95
20220602,305050,KINDEX 코스피,27020,-325,-1.19,27038.21,27080,27080,27000,1201,32458640,6755000000,6759551886,250000,코스피,2658.99,-26.91,-1.00
20220602,261920,KINDEX 필리핀MSCI(합성),13910,-140,-1.0,13899.39,14050,14050,13850,590,8239005,5564000000,5559757518,400000,MSCI Philippines IMI Index,1572.72,-19.15,-1.20
20220602,069500,KODEX 200,35055,-385,-1.09,35116.75,35240,35275,34980,5957733,209001199670,5260002750000,5409735964958,150050000,코스피 200,350.51,-4.03,-1.14
20220602,226980,KODEX 200 중소형,12980,-70,-0.54,12975.16,13015,13015,12925,250,3243435,6490000000,6487580817,500000,코스피 200 중소형주지수,1300.81,-8.86,-0.68
20220602,337160,KODEX 200ESG,12925,-145,-1.11,12924.55,12980,12980,12860,872,11248450,85305000000,85302042296,6600000,코스피 200 ESG 지수,383.94,-4.33,-1.12
20220602,363580,KODEX 200IT TR,11765,-85,-0.72,11772.1,11735,11765,11665,30,351210,78825500000,78873074834,6700000,코스피200 정보기술 TR,3548.45,-37.82,-1.05
20220602,278530,KODEX 200TR,11680,-210,-1.77,11695.41,11750,11750,11670,116295,1358230690,1210632000000,1212228839120,103650000,코스피 200 TR,426.54,-4.90,-1.14
20220602,337150,KODEX 200exTOP,11995,-150,-1.24,12017.99,12085,12085,11995,4,48080,13194500000,13219792504,1100000,코스피 200 초대형제외 지수,260.60,-3.10,-1.18
20220602,223190,KODEX 200가치저변동,10280,-125,-1.2,10280.12,10360,10360,10250,78217,803390930,16448000000,16448190552,1600000,코스피 200 가치저변동성,5047.43,-62.66,-1.23
20220602,252650,KODEX 200동일가중,11525,-85,-0.73,11527.88,11510,11545,11495,71,818365,11525000000,11527875551,1000000,코스피 200 동일가중지수,2319.45,-19.86,-0.85
20220602,360140,KODEX 200롱코스닥150숏선물,10300,-55,-0.53,10366.01,10325,10325,10300,22,226900,16480000000,16585609946,1600000,코스피200 롱 100% 코스닥150 숏 100% 선물지수,877.65,0.63,0.07
20220602,284430,KODEX 200미국채혼합,12395,5,0.04,12343.28,12380,12400,12355,41636,515418165,33714400000,33573723350,2720000,코스피 200 미국채 혼합지수,2972.20,-15.82,-0.53
20220602,252670,KODEX 200선물인버스2X,2620,55,2.14,2619.88,2590,2630,2585,108491512,283233701820,1905264000000,1954690459885,727200000,코스피 200 선물지수,1772.36,-21.02,-1.17
20220602,305720,KODEX 2차전지산업,20215,-20,-0.1,20230.47,20175,20235,20060,899667,18143116175,1348340500000,1351395510804,66700000,FnGuide 2차전지 산업 지수,3526.25,-10.55,-0.30
20220602,368680,KODEX Fn K-뉴딜디지털플러스,9170,-20,-0.22,9167.78,9190,9190,9150,146,1339195,11004000000,11001340885,1200000,FnGuide K-뉴딜 디지털 플러스 지수,2192.03,-23.11,-1.04
20220602,395170,KODEX Fn Top10동일가중,7870,-50,-0.63,7869.64,7885,7885,7835,7407,58100240,109393000000,109388035942,13900000,FnGuide TOP10 동일가중 지수,1233.36,-12.32,-0.99
20220602,337120,KODEX Fn멀티팩터,12835,-80,-0.62,12782.62,12830,12835,12785,6100,78038500,7701000000,7669571399,600000,FnGuide 멀티팩터 지수,8044.07,-79.03,-0.97
20220602,325010,KODEX Fn성장,14705,-150,-1.01,14714.73,14765,14765,14635,5127,75641495,83818500000,83873953697,5700000,FnGuide 성장 지수(PR),4157.28,-42.23,-1.01
20220602,395160,KODEX Fn시스템반도체,9030,-80,-0.88,9032.67,9035,9080,8995,8358,75527630,19866000000,19871877819,2200000,FnGuide AI반도체지수,2081.53,-18.98,-0.90
20220602,395150,KODEX Fn웹툰&드라마,7220,-60,-0.82,7233.63,7245,7255,7215,12992,93983325,10830000000,10850437854,1500000,FnGuide 웹툰&드라마 지수,1087.01,-11.17,-1.02
20220602,266370,KODEX IT,18280,-220,-1.19,18317.48,18325,18345,18215,6987,127586935,34732000000,34803214706,1900000,KRX 정보기술,1573.35,-15.84,-1.00
