시퀀스,종목코드,종목명,분류체계,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,표준코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
406,495330,1Q 코리아밸류업,주식-시장대표,0.0,코리아 밸류업 지수,1.09,26671855684.0,-0.12,높음,KR7495330003,하나 1Q 코리아밸류업증권상장지수투자신탁(주식),1Q 코리아밸류업,Hana 1Q Korea Value-Up ETF,2024/11/04,코리아 밸류업 지수,KRX,일반,실물(패시브),국내,주식,2400000,하나자산운용,100000,0.02,비과세
362,472350,1Q 차이나H(H),주식-시장대표,33.68,Hang Seng China H,1.25,16973451472.0,0.97,매우높음,KR7472350008,하나 1Q 차이나H증권상장지수투자신탁[주식](H),1Q 차이나H(H),Hana 1Q China H ETF(H),2023/12/12,Hang Seng China H,HangSeng,일반,실물(패시브),해외,주식,1100000,하나자산운용,100000,0.11,배당소득세(보유기간과세)
3,0004G0,1Q 미국배당30,주식-전략-배당,0.0,Solactive U.S. Dividend 30 Index PR,0.44,5249553052.0,-0.11,매우높음,KR70004G0002,하나 1Q 미국배당30증권상장지수투자신탁(주식),1Q 미국배당30,Hana 1Q U.S. Dividend 30 ETF,2025/01/21,Solactive U.S. Dividend 30 Index PR,Solactive,일반,실물(패시브),해외,주식,600000,하나자산운용,100000,0.1,배당소득세(보유기간과세)
24,0052S0,1Q 미국S&P500미국채혼합50액티브,혼합자산-주식+채권,0.0,S&P 500 and Short-Term Treasury 50/50 Blend Index,0.0,17080622639.0,0.22,매우낮음,KR70052S0009,하나 1Q 미국S&P500미국채혼합50액티브증권상장지수투자신탁(채권혼합),1Q 미국S&P500미국채혼합50액티브,Hana 1Q U.S. S&P500 Blend 50 Active ETF,2025/06/10,S&P 500 and Short-Term Treasury 50/50 Blend Index,S&P,일반,실물(액티브),해외,혼합자산,1700000,하나자산운용,100000,0.15,배당소득세(보유기간과세)
13,0026S0,1Q 미국S&P500,주식-시장대표,0.0,S&P 500,0.36,75223859419.0,-0.08,매우높음,KR70026S0002,하나 1Q 미국S&P500증권상장지수투자신탁(주식),1Q 미국S&P500,Hana 1Q U.S. S&P500 ETF,2025/03/18,S&P 500,S&P,일반,실물(패시브),해외,주식,7600000,하나자산운용,100000,0.005,배당소득세(보유기간과세)
318,451060,1Q K200액티브,주식-시장대표,5.16,코스피 200,0.92,126799222054.0,-0.13,높음,KR7451060008,하나 1Q K200액티브증권상장지수투자신탁[주식],1Q K200액티브,Hana 1Q K200 Active ETF,2023/01/31,코스피 200,KRX,일반,실물(액티브),국내,주식,9450000,하나자산운용,150000,0.18,배당소득세(보유기간과세)
